Age,Date,DHB,Ethnicity,RateRatio
10 to 29,2021-08-24,Taranaki,Māori,0.49465070374596554
10 to 29,2021-08-24,Taranaki,Pacific Peoples,1.0020496259317007
10 to 29,2021-08-24,Waikato,Māori,0.48769597028844586
10 to 29,2021-08-24,Waikato,Pacific Peoples,0.9020735828650299
10 to 29,2021-08-24,Wairarapa,Māori,0.7369331356673129
10 to 29,2021-08-24,Wairarapa,Pacific Peoples,1.749953901269691
10 to 29,2021-08-24,West Coast,Māori,0.75153099877941
10 to 29,2021-08-24,West Coast,Pacific Peoples,2.1807065217391304
10 to 29,2021-08-24,Whanganui,Māori,0.4942331077804552
10 to 29,2021-08-24,Whanganui,Pacific Peoples,1.006078886310905
30 to 49,2021-07-27,Auckland Metro,Māori,0.6656351193474391
30 to 49,2021-07-27,Auckland Metro,Pacific Peoples,0.9549554267228966
30 to 49,2021-07-27,Bay of Plenty,Māori,0.7374692911377311
30 to 49,2021-07-27,Bay of Plenty,Pacific Peoples,2.1181625017557355
30 to 49,2021-07-27,Canterbury,Māori,0.76682907401375755
30 to 49,2021-07-27,Canterbury,Pacific Peoples,1.3069910437574377
30 to 49,2021-07-27,Wellington Metro,Māori,0.8964632350921258
30 to 49,2021-07-27,Wellington Metro,Pacific Peoples,1.293170316467651
30 to 49,2021-07-27,Hawkes Bay,Māori,0.7150951579616635
30 to 49,2021-07-27,Hawkes Bay,Pacific Peoples,3.294159651542235
30 to 49,2021-07-27,Lakes,Māori,0.574959025422614
30 to 49,2021-07-27,Lakes,Pacific Peoples,1.1647177766833767
30 to 49,2021-07-27,MidCentral,Māori,0.7145793921861572
30 to 49,2021-07-27,MidCentral,Pacific Peoples,1.0295883503340897
30 to 49,2021-07-27,Nelson Marlborough,Māori,0.9213123094263445
30 to 49,2021-07-27,Nelson Marlborough,Pacific Peoples,4.8116585616555225
30 to 49,2021-07-27,Northland,Māori,0.6566287094648524
30 to 49,2021-07-27,Northland,Pacific Peoples,0.9186117674522781
30 to 49,2021-07-27,South Canterbury,Māori,0.867284371167734
30 to 49,2021-07-27,South Canterbury,Pacific Peoples,0.9851972306493261
30 to 49,2021-07-27,Southern,Māori,0.8511950032918739
30 to 49,2021-07-27,Southern,Pacific Peoples,1.4585829593030992
30 to 49,2021-07-27,Tairawhiti,Māori,0.8605726451294164
30 to 49,2021-07-27,Tairawhiti,Pacific Peoples,1.511458588110826
30 to 49,2021-07-27,Taranaki,Māori,0.6916467739037278
30 to 49,2021-07-27,Taranaki,Pacific Peoples,2.3278544197305067
30 to 49,2021-07-27,Waikato,Māori,0.6932261592055783
30 to 49,2021-07-27,Waikato,Pacific Peoples,1.2825127757745869
30 to 49,2021-07-27,Wairarapa,Māori,0.8929925417918201
30 to 49,2021-07-27,Wairarapa,Pacific Peoples,2.3393097215161274
30 to 49,2021-07-27,West Coast,Māori,0.6276918206301433
30 to 49,2021-07-27,West Coast,Pacific Peoples,1.0885930910066066
30 to 49,2021-07-27,Whanganui,Māori,0.6322132363348696
30 to 49,2021-07-27,Whanganui,Pacific Peoples,0.9343766811757225
30 to 49,2021-08-03,Auckland Metro,Māori,0.6803365330149899
30 to 49,2021-08-03,Auckland Metro,Pacific Peoples,0.9449924349116963
30 to 49,2021-08-03,Bay of Plenty,Māori,0.7501840835865653
30 to 49,2021-08-03,Bay of Plenty,Pacific Peoples,2.1257393433674814
30 to 49,2021-08-03,Canterbury,Māori,0.8230029367372225
30 to 49,2021-08-03,Canterbury,Pacific Peoples,1.3473225194122809
30 to 49,2021-08-03,Wellington Metro,Māori,0.8833724010195008
30 to 49,2021-08-03,Wellington Metro,Pacific Peoples,1.255559292625574
30 to 49,2021-08-03,Hawkes Bay,Māori,0.7603229946654178
30 to 49,2021-08-03,Hawkes Bay,Pacific Peoples,3.220724515017602
