DHB,Age,Ethnicity,Method,Population
Tairawhiti,30-34,European or Other,StatsNZ,1110
Tairawhiti,30-34,Maori,HSU,1666
Tairawhiti,30-34,Maori,StatsNZ,1830
Tairawhiti,30-34,Pacific Peoples,HSU,110
Tairawhiti,30-34,Pacific Peoples,StatsNZ,95
Tairawhiti,35-39,Asian,HSU,120
Tairawhiti,35-39,Asian,StatsNZ,105
Tairawhiti,35-39,European or Other,HSU,1254
Tairawhiti,35-39,European or Other,StatsNZ,1120
Tairawhiti,35-39,Maori,HSU,1420
Tairawhiti,35-39,Maori,StatsNZ,1580
Tairawhiti,35-39,Pacific Peoples,HSU,83
Tairawhiti,35-39,Pacific Peoples,StatsNZ,70
Tairawhiti,40-44,Asian,HSU,108
Tairawhiti,40-44,Asian,StatsNZ,95
Tairawhiti,40-44,European or Other,HSU,1316
Tairawhiti,40-44,European or Other,StatsNZ,1160
Tairawhiti,40-44,Maori,HSU,1350
Tairawhiti,40-44,Maori,StatsNZ,1490
Tairawhiti,40-44,Pacific Peoples,HSU,84
Tairawhiti,40-44,Pacific Peoples,StatsNZ,90
Tairawhiti,45-49,Asian,HSU,78
Tairawhiti,45-49,Asian,StatsNZ,85
Tairawhiti,45-49,European or Other,HSU,1477
Tairawhiti,45-49,European or Other,StatsNZ,1390
Tairawhiti,45-49,Maori,HSU,1477
Tairawhiti,45-49,Maori,StatsNZ,1650
Tairawhiti,45-49,Pacific Peoples,HSU,84
Tairawhiti,45-49,Pacific Peoples,StatsNZ,75
Tairawhiti,50-54,Asian,HSU,65
Tairawhiti,50-54,Asian,StatsNZ,65
Tairawhiti,50-54,European or Other,HSU,1549
Tairawhiti,50-54,European or Other,StatsNZ,1470
Tairawhiti,50-54,Maori,HSU,1432
Tairawhiti,50-54,Maori,StatsNZ,1580
Tairawhiti,50-54,Pacific Peoples,HSU,84
Tairawhiti,50-54,Pacific Peoples,StatsNZ,85
Tairawhiti,55-59,Asian,HSU,61
Tairawhiti,55-59,Asian,StatsNZ,70
Tairawhiti,55-59,European or Other,HSU,1707
Tairawhiti,55-59,European or Other,StatsNZ,1640
Tairawhiti,55-59,Maori,HSU,1390
Tairawhiti,55-59,Maori,StatsNZ,1500
Tairawhiti,55-59,Pacific Peoples,HSU,76
Tairawhiti,55-59,Pacific Peoples,StatsNZ,80
Tairawhiti,60-64,Asian,HSU,31
Tairawhiti,60-64,Asian,StatsNZ,35
Tairawhiti,60-64,European or Other,HSU,1710
Tairawhiti,60-64,European or Other,StatsNZ,1700
Tairawhiti,60-64,Maori,HSU,1253
Tairawhiti,60-64,Maori,StatsNZ,1380
Tairawhiti,60-64,Pacific Peoples,HSU,46
Tairawhiti,60-64,Pacific Peoples,StatsNZ,45
Tairawhiti,65-69,Asian,HSU,21
Tairawhiti,65-69,Asian,StatsNZ,25
Tairawhiti,65-69,European or Other,HSU,1693
Tairawhiti,65-69,European or Other,StatsNZ,1670
Tairawhiti,65-69,Maori,HSU,956
Tairawhiti,65-69,Maori,StatsNZ,1090
Tairawhiti,65-69,Pacific Peoples,HSU,30
Tairawhiti,65-69,Pacific Peoples,StatsNZ,35
Tairawhiti,70-74,Asian,HSU,17
Tairawhiti,70-74,Asian,StatsNZ,20
Tairawhiti,70-74,European or Other,HSU,1423
Tairawhiti,70-74,European or Other,StatsNZ,1440
Tairawhiti,70-74,Maori,HSU,618
Tairawhiti,70-74,Maori,StatsNZ,730
Tairawhiti,70-74,Pacific Peoples,HSU,20
Tairawhiti,70-74,Pacific Peoples,StatsNZ,30
Tairawhiti,75-79,Asian,HSU,8
Tairawhiti,75-79,Asian,StatsNZ,10
Tairawhiti,75-79,European or Other,HSU,1041
Tairawhiti,75-79,European or Other,StatsNZ,1010
Tairawhiti,75-79,Maori,HSU,329
Tairawhiti,75-79,Maori,StatsNZ,420
Tairawhiti,80-84,Asian,HSU,15
Tairawhiti,80-84,Asian,StatsNZ,15
Tairawhiti,80-84,European or Other,HSU,661
Tairawhiti,80-84,European or Other,StatsNZ,670
Tairawhiti,80-84,Maori,HSU,193
Tairawhiti,80-84,Maori,StatsNZ,240
Tairawhiti,80-84,Pacific Peoples,HSU,6
Tairawhiti,80-84,Pacific Peoples,StatsNZ,10
Tairawhiti,85-89,European or Other,HSU,423
Tairawhiti,85-89,European or Other,StatsNZ,430
Tairawhiti,85-89,Maori,HSU,94
Tairawhiti,85-89,Maori,StatsNZ,120
Tairawhiti,90+,European or Other,HSU,253
Tairawhiti,90+,European or Other,StatsNZ,230
Tairawhiti,90+,Maori,HSU,27
Tairawhiti,90+,Maori,StatsNZ,50
Taranaki,20-24,Asian,HSU,205
Taranaki,20-24,Asian,StatsNZ,370
Taranaki,20-24,European or Other,HSU,4368
Taranaki,20-24,European or Other,StatsNZ,3710
Taranaki,20-24,Maori,HSU,1617
Taranaki,20-24,Maori,StatsNZ,1880
Taranaki,20-24,Pacific Peoples,HSU,124
Taranaki,20-24,Pacific Peoples,StatsNZ,140
Taranaki,25-29,Asian,HSU,438
Taranaki,25-29,Asian,StatsNZ,610
Taranaki,25-29,European or Other,HSU,5002
Taranaki,25-29,European or Other,StatsNZ,4770
Taranaki,25-29,Maori,HSU,1564
Taranaki,25-29,Maori,StatsNZ,1800
Taranaki,25-29,Pacific Peoples,HSU,126
Taranaki,25-29,Pacific Peoples,StatsNZ,130
Taranaki,30-34,Asian,HSU,655
Taranaki,30-34,Asian,StatsNZ,760
Taranaki,30-34,European or Other,HSU,5396
Taranaki,30-34,European or Other,StatsNZ,5300
Taranaki,30-34,Maori,HSU,1482
Taranaki,30-34,Maori,StatsNZ,1810
Taranaki,30-34,Pacific Peoples,HSU,144
Taranaki,30-34,Pacific Peoples,StatsNZ,140
Taranaki,35-39,Asian,HSU,640
Taranaki,35-39,Asian,StatsNZ,700
Taranaki,35-39,European or Other,HSU,5361
Taranaki,35-39,European or Other,StatsNZ,5390
Taranaki,35-39,Maori,HSU,1212
Taranaki,35-39,Maori,StatsNZ,1460
Taranaki,35-39,Pacific Peoples,HSU,121
Taranaki,35-39,Pacific Peoples,StatsNZ,100
Taranaki,40-44,Asian,HSU,451
Taranaki,40-44,Asian,StatsNZ,520
Taranaki,40-44,European or Other,HSU,5402
Taranaki,40-44,European or Other,StatsNZ,5400
Taranaki,40-44,Maori,HSU,1149
Taranaki,40-44,Maori,StatsNZ,1400
Taranaki,40-44,Pacific Peoples,HSU,113
Taranaki,40-44,Pacific Peoples,StatsNZ,115
Taranaki,45-49,Asian,HSU,298
Taranaki,45-49,Asian,StatsNZ,370
Taranaki,45-49,European or Other,HSU,6294
Taranaki,45-49,European or Other,StatsNZ,6220
Taranaki,45-49,Maori,HSU,1225
Taranaki,45-49,Maori,StatsNZ,1450
Taranaki,45-49,Pacific Peoples,HSU,101
Taranaki,45-49,Pacific Peoples,StatsNZ,115
Taranaki,50-54,Asian,HSU,247
Taranaki,50-54,Asian,StatsNZ,300
Taranaki,50-54,European or Other,HSU,6360
Taranaki,50-54,European or Other,StatsNZ,6480
Taranaki,50-54,Maori,HSU,1081
Taranaki,50-54,Maori,StatsNZ,1330
Taranaki,50-54,Pacific Peoples,HSU,72
Taranaki,50-54,Pacific Peoples,StatsNZ,85
Taranaki,55-59,Asian,HSU,195
Taranaki,55-59,Asian,StatsNZ,240
Taranaki,55-59,European or Other,HSU,6851
Taranaki,55-59,European or Other,StatsNZ,6900
Taranaki,55-59,Maori,HSU,1060
Taranaki,55-59,Maori,StatsNZ,1220
Taranaki,55-59,Pacific Peoples,HSU,77
Taranaki,55-59,Pacific Peoples,StatsNZ,80
Taranaki,60-64,Asian,HSU,146
Taranaki,60-64,Asian,StatsNZ,180
Taranaki,60-64,European or Other,HSU,6732
Taranaki,60-64,European or Other,StatsNZ,6840
Taranaki,60-64,Maori,HSU,841
Taranaki,60-64,Maori,StatsNZ,1000
Taranaki,60-64,Pacific Peoples,HSU,46
Taranaki,60-64,Pacific Peoples,StatsNZ,65
Taranaki,65-69,Asian,HSU,126
Taranaki,65-69,Asian,StatsNZ,150
Taranaki,65-69,European or Other,HSU,5967
Taranaki,65-69,European or Other,StatsNZ,5970
Taranaki,65-69,Maori,HSU,580
Taranaki,65-69,Maori,StatsNZ,690
Taranaki,65-69,Pacific Peoples,HSU,42
Taranaki,65-69,Pacific Peoples,StatsNZ,50
Taranaki,70-74,Asian,HSU,50
Taranaki,70-74,Asian,StatsNZ,80
Taranaki,70-74,European or Other,HSU,5402
Taranaki,70-74,European or Other,StatsNZ,5410
Taranaki,70-74,Maori,HSU,413
Taranaki,70-74,Maori,StatsNZ,470
Taranaki,70-74,Pacific Peoples,HSU,18
Taranaki,70-74,Pacific Peoples,StatsNZ,30
Taranaki,75-79,Asian,HSU,38
Taranaki,75-79,Asian,StatsNZ,50
Taranaki,75-79,European or Other,HSU,3720
Taranaki,75-79,European or Other,StatsNZ,3820
Taranaki,75-79,Maori,HSU,220
Taranaki,75-79,Maori,StatsNZ,280
Taranaki,75-79,Pacific Peoples,HSU,5
Taranaki,75-79,Pacific Peoples,StatsNZ,20
Taranaki,80-84,Asian,HSU,23
Taranaki,80-84,Asian,StatsNZ,30
Taranaki,80-84,European or Other,HSU,2536
Taranaki,80-84,European or Other,StatsNZ,2630
Taranaki,80-84,Maori,HSU,135
Taranaki,80-84,Maori,StatsNZ,180
Taranaki,80-84,Pacific Peoples,HSU,7
Taranaki,80-84,Pacific Peoples,StatsNZ,15
Taranaki,85-89,Asian,HSU,8
Taranaki,85-89,Asian,StatsNZ,20
Taranaki,85-89,European or Other,HSU,1598
Taranaki,85-89,European or Other,StatsNZ,1600
Taranaki,85-89,Maori,HSU,48
Taranaki,85-89,Maori,StatsNZ,90
Taranaki,90+,European or Other,HSU,975
Taranaki,90+,European or Other,StatsNZ,960
Taranaki,90+,Maori,HSU,11
Taranaki,90+,Maori,StatsNZ,40
Waikato,20-24,Asian,HSU,2271
Waikato,20-24,Asian,StatsNZ,3970
Waikato,20-24,European or Other,HSU,15632
Waikato,20-24,European or Other,StatsNZ,13870
Waikato,20-24,Maori,HSU,7894
Waikato,20-24,Maori,StatsNZ,8990
Waikato,20-24,Pacific Peoples,HSU,1174
Waikato,20-24,Pacific Peoples,StatsNZ,1150
Waikato,25-29,Asian,HSU,4537
Waikato,25-29,Asian,StatsNZ,5800
Waikato,25-29,European or Other,HSU,16683
Waikato,25-29,European or Other,StatsNZ,15020
Waikato,25-29,Maori,HSU,7419
Waikato,25-29,Maori,StatsNZ,8430
Waikato,25-29,Pacific Peoples,HSU,1130
Waikato,25-29,Pacific Peoples,StatsNZ,1120
Waikato,30-34,Asian,HSU,5449
Waikato,30-34,Asian,StatsNZ,6260
Waikato,30-34,European or Other,HSU,16093
Waikato,30-34,European or Other,StatsNZ,15200
Waikato,30-34,Maori,HSU,6473
Waikato,30-34,Maori,StatsNZ,7440
Waikato,30-34,Pacific Peoples,HSU,1051
Waikato,30-34,Pacific Peoples,StatsNZ,950
Waikato,35-39,Asian,HSU,4685
Waikato,35-39,Asian,StatsNZ,5260
Waikato,35-39,European or Other,HSU,14933
Waikato,35-39,European or Other,StatsNZ,15100
Waikato,35-39,Maori,HSU,5345
Waikato,35-39,Maori,StatsNZ,6020
Waikato,35-39,Pacific Peoples,HSU,1001
Waikato,35-39,Pacific Peoples,StatsNZ,870
Waikato,40-44,Asian,HSU,3249
Waikato,40-44,Asian,StatsNZ,3990
Waikato,40-44,European or Other,HSU,15247
Waikato,40-44,European or Other,StatsNZ,15240
Waikato,40-44,Maori,HSU,4932
Waikato,40-44,Maori,StatsNZ,5670
Waikato,40-44,Pacific Peoples,HSU,918
Waikato,40-44,Pacific Peoples,StatsNZ,790
Waikato,45-49,Asian,HSU,2386
Waikato,45-49,Asian,StatsNZ,2710
Waikato,45-49,European or Other,HSU,18024
Waikato,45-49,European or Other,StatsNZ,17940
Waikato,45-49,Maori,HSU,5087
Waikato,45-49,Maori,StatsNZ,5820
Waikato,45-49,Pacific Peoples,HSU,810
Waikato,45-49,Pacific Peoples,StatsNZ,800
Waikato,50-54,Asian,HSU,1907
Waikato,50-54,Asian,StatsNZ,2260
Waikato,50-54,European or Other,HSU,18536
Waikato,50-54,European or Other,StatsNZ,19150
Waikato,50-54,Maori,HSU,4669
Waikato,50-54,Maori,StatsNZ,5440
Waikato,50-54,Pacific Peoples,HSU,747
Waikato,50-54,Pacific Peoples,StatsNZ,780
Waikato,55-59,Asian,HSU,1580
Waikato,55-59,Asian,StatsNZ,1810
Waikato,55-59,European or Other,HSU,19265
Waikato,55-59,European or Other,StatsNZ,19870
Waikato,55-59,Maori,HSU,4592
Waikato,55-59,Maori,StatsNZ,5020
Waikato,55-59,Pacific Peoples,HSU,588
Waikato,55-59,Pacific Peoples,StatsNZ,600
Waikato,60-64,Asian,HSU,1455
Waikato,60-64,Asian,StatsNZ,1590
Waikato,60-64,European or Other,HSU,18587
Waikato,60-64,European or Other,StatsNZ,19450
Waikato,60-64,Maori,HSU,3561
Waikato,60-64,Maori,StatsNZ,4040
Waikato,60-64,Pacific Peoples,HSU,484
Waikato,60-64,Pacific Peoples,StatsNZ,460
Waikato,65-69,Asian,HSU,1291
Waikato,65-69,Asian,StatsNZ,1280
Waikato,65-69,European or Other,HSU,17233
Waikato,65-69,European or Other,StatsNZ,18070
Waikato,65-69,Maori,HSU,2551
Waikato,65-69,Maori,StatsNZ,2970
Waikato,65-69,Pacific Peoples,HSU,382
Waikato,65-69,Pacific Peoples,StatsNZ,380
Waikato,70-74,Asian,HSU,740
Waikato,70-74,Asian,StatsNZ,810
Waikato,70-74,European or Other,HSU,15857
Waikato,70-74,European or Other,StatsNZ,16770
Waikato,70-74,Maori,HSU,1629
Waikato,70-74,Maori,StatsNZ,1920
Waikato,70-74,Pacific Peoples,HSU,243
Waikato,70-74,Pacific Peoples,StatsNZ,250
Waikato,75-79,Asian,HSU,430
Waikato,75-79,Asian,StatsNZ,460
Waikato,75-79,European or Other,HSU,11481
Waikato,75-79,European or Other,StatsNZ,12080
Waikato,75-79,Maori,HSU,942
Waikato,75-79,Maori,StatsNZ,1110
Waikato,75-79,Pacific Peoples,HSU,185
Waikato,75-79,Pacific Peoples,StatsNZ,170
Waikato,80-84,Asian,HSU,251
Waikato,80-84,Asian,StatsNZ,280
Waikato,80-84,European or Other,HSU,7538
Waikato,80-84,European or Other,StatsNZ,8080
Waikato,80-84,Maori,HSU,494
Waikato,80-84,Maori,StatsNZ,600
Waikato,80-84,Pacific Peoples,HSU,88
Waikato,80-84,Pacific Peoples,StatsNZ,110
Waikato,85-89,Asian,HSU,128
Waikato,85-89,Asian,StatsNZ,120
Waikato,85-89,European or Other,HSU,4393
Waikato,85-89,European or Other,StatsNZ,4600
Waikato,85-89,Maori,HSU,208
Waikato,85-89,Maori,StatsNZ,300
Waikato,85-89,Pacific Peoples,HSU,33
Waikato,85-89,Pacific Peoples,StatsNZ,50
Waikato,90+,Asian,HSU,51
Waikato,90+,Asian,StatsNZ,70
Waikato,90+,European or Other,HSU,2483
Waikato,90+,European or Other,StatsNZ,2580
Waikato,90+,Maori,HSU,72
Waikato,90+,Maori,StatsNZ,80
Wairarapa,20-24,Asian,HSU,54
Wairarapa,20-24,Asian,StatsNZ,75
Wairarapa,20-24,European or Other,HSU,1499
Wairarapa,20-24,European or Other,StatsNZ,1310
Wairarapa,20-24,Maori,HSU,717
Wairarapa,20-24,Maori,StatsNZ,730
Wairarapa,20-24,Pacific Peoples,HSU,92
Wairarapa,20-24,Pacific Peoples,StatsNZ,75
Wairarapa,25-29,Asian,HSU,139
Wairarapa,25-29,Asian,StatsNZ,165
Wairarapa,25-29,European or Other,HSU,1743
Wairarapa,25-29,European or Other,StatsNZ,1620
Wairarapa,25-29,Maori,HSU,608
Wairarapa,25-29,Maori,StatsNZ,620
Wairarapa,25-29,Pacific Peoples,HSU,82
Wairarapa,25-29,Pacific Peoples,StatsNZ,85
Wairarapa,30-34,Asian,HSU,196
Wairarapa,30-34,Asian,StatsNZ,190
Wairarapa,30-34,European or Other,HSU,1789
Wairarapa,30-34,European or Other,StatsNZ,1790
Wairarapa,30-34,Maori,HSU,568
Wairarapa,30-34,Maori,StatsNZ,580
Wairarapa,30-34,Pacific Peoples,HSU,65
Wairarapa,30-34,Pacific Peoples,StatsNZ,55
Wairarapa,35-39,Asian,HSU,181
Wairarapa,35-39,Asian,StatsNZ,170
Wairarapa,35-39,European or Other,HSU,1853
Wairarapa,35-39,European or Other,StatsNZ,1880
Wairarapa,35-39,Maori,HSU,461
Wairarapa,35-39,Maori,StatsNZ,460
Wairarapa,35-39,Pacific Peoples,HSU,72
Wairarapa,35-39,Pacific Peoples,StatsNZ,70
Wairarapa,40-44,Asian,HSU,126
Wairarapa,40-44,Asian,StatsNZ,145
Wairarapa,40-44,European or Other,HSU,1952
Wairarapa,40-44,European or Other,StatsNZ,2040
Wairarapa,40-44,Maori,HSU,447
Wairarapa,40-44,Maori,StatsNZ,480
Wairarapa,40-44,Pacific Peoples,HSU,68
Wairarapa,40-44,Pacific Peoples,StatsNZ,60
Wairarapa,45-49,Asian,HSU,76
Wairarapa,45-49,Asian,StatsNZ,100
Wairarapa,45-49,European or Other,HSU,2478
Wairarapa,45-49,European or Other,StatsNZ,2520
Wairarapa,45-49,Maori,HSU,453
Wairarapa,45-49,Maori,StatsNZ,490
Wairarapa,45-49,Pacific Peoples,HSU,65
Wairarapa,45-49,Pacific Peoples,StatsNZ,60
Wairarapa,50-54,Asian,HSU,64
Wairarapa,50-54,Asian,StatsNZ,95
Wairarapa,50-54,European or Other,HSU,2707
Wairarapa,50-54,European or Other,StatsNZ,2750
Wairarapa,50-54,Maori,HSU,400
Wairarapa,50-54,Maori,StatsNZ,460
Wairarapa,50-54,Pacific Peoples,HSU,56
Wairarapa,50-54,Pacific Peoples,StatsNZ,60
Wairarapa,55-59,Asian,HSU,64
Wairarapa,55-59,Asian,StatsNZ,85
Wairarapa,55-59,European or Other,HSU,2946
Wairarapa,55-59,European or Other,StatsNZ,2980
Wairarapa,55-59,Maori,HSU,429
Wairarapa,55-59,Maori,StatsNZ,440
Wairarapa,55-59,Pacific Peoples,HSU,59
Wairarapa,55-59,Pacific Peoples,StatsNZ,60
Wairarapa,60-64,Asian,HSU,64
Wairarapa,60-64,Asian,StatsNZ,65
Wairarapa,60-64,European or Other,HSU,3043
Wairarapa,60-64,European or Other,StatsNZ,3020
Wairarapa,60-64,Maori,HSU,337
Wairarapa,60-64,Maori,StatsNZ,360
Wairarapa,60-64,Pacific Peoples,HSU,35
Wairarapa,60-64,Pacific Peoples,StatsNZ,35
Wairarapa,65-69,Asian,HSU,43
Wairarapa,65-69,Asian,StatsNZ,50
Wairarapa,65-69,European or Other,HSU,2916
Wairarapa,65-69,European or Other,StatsNZ,3040
Wairarapa,65-69,Maori,HSU,240
Wairarapa,65-69,Maori,StatsNZ,250
Wairarapa,65-69,Pacific Peoples,HSU,32
Wairarapa,65-69,Pacific Peoples,StatsNZ,40
Wairarapa,70-74,Asian,HSU,24
Wairarapa,70-74,Asian,StatsNZ,30
Wairarapa,70-74,European or Other,HSU,2768
Wairarapa,70-74,European or Other,StatsNZ,2900
Wairarapa,70-74,Maori,HSU,167
Wairarapa,70-74,Maori,StatsNZ,190
Wairarapa,70-74,Pacific Peoples,HSU,25
Wairarapa,70-74,Pacific Peoples,StatsNZ,20
Wairarapa,75-79,Asian,HSU,17
Wairarapa,75-79,Asian,StatsNZ,15
Wairarapa,75-79,European or Other,HSU,1844
Wairarapa,75-79,European or Other,StatsNZ,1960
Wairarapa,75-79,Maori,HSU,104
Wairarapa,75-79,Maori,StatsNZ,100
Wairarapa,75-79,Pacific Peoples,HSU,5
Wairarapa,75-79,Pacific Peoples,StatsNZ,10
Wairarapa,80-84,European or Other,HSU,1176
Wairarapa,80-84,European or Other,StatsNZ,1290
Wairarapa,80-84,Maori,HSU,49
Wairarapa,80-84,Maori,StatsNZ,70
Wairarapa,80-84,Pacific Peoples,HSU,5
Wairarapa,80-84,Pacific Peoples,StatsNZ,5
Wairarapa,85-89,European or Other,HSU,668
Wairarapa,85-89,European or Other,StatsNZ,690
Wairarapa,85-89,Maori,HSU,27
Wairarapa,85-89,Maori,StatsNZ,40
Wairarapa,90+,European or Other,HSU,407
Wairarapa,90+,European or Other,StatsNZ,390
Wairarapa,90+,Maori,HSU,10
Wairarapa,90+,Maori,StatsNZ,20
West Coast,20-24,Asian,HSU,42
West Coast,20-24,Asian,StatsNZ,70
West Coast,20-24,European or Other,HSU,1046
West Coast,20-24,European or Other,StatsNZ,1080
West Coast,20-24,Maori,HSU,250
West Coast,20-24,Maori,StatsNZ,220
West Coast,20-24,Pacific Peoples,HSU,22
West Coast,20-24,Pacific Peoples,StatsNZ,20
West Coast,25-29,Asian,HSU,140
West Coast,25-29,Asian,StatsNZ,135
West Coast,25-29,European or Other,HSU,1384
West Coast,25-29,European or Other,StatsNZ,1390
West Coast,25-29,Maori,HSU,285
West Coast,25-29,Maori,StatsNZ,310
West Coast,25-29,Pacific Peoples,HSU,20
West Coast,25-29,Pacific Peoples,StatsNZ,40
West Coast,30-34,Asian,HSU,165
West Coast,30-34,Asian,StatsNZ,205
West Coast,30-34,European or Other,HSU,1373
West Coast,30-34,European or Other,StatsNZ,1440
West Coast,30-34,Maori,HSU,228
West Coast,30-34,Maori,StatsNZ,260
West Coast,30-34,Pacific Peoples,HSU,33
West Coast,30-34,Pacific Peoples,StatsNZ,35
West Coast,35-39,Asian,HSU,128
West Coast,35-39,Asian,StatsNZ,155
West Coast,35-39,European or Other,HSU,1369
West Coast,35-39,European or Other,StatsNZ,1300
West Coast,35-39,Maori,HSU,173
West Coast,35-39,Maori,StatsNZ,200
West Coast,35-39,Pacific Peoples,HSU,27
West Coast,35-39,Pacific Peoples,StatsNZ,25
West Coast,40-44,Asian,HSU,94
West Coast,40-44,Asian,StatsNZ,105
West Coast,40-44,European or Other,HSU,1345
West Coast,40-44,European or Other,StatsNZ,1320
West Coast,40-44,Maori,HSU,179
West Coast,40-44,Maori,StatsNZ,200
West Coast,40-44,Pacific Peoples,HSU,29
West Coast,40-44,Pacific Peoples,StatsNZ,20
West Coast,45-49,Asian,HSU,76
West Coast,45-49,Asian,StatsNZ,70
West Coast,45-49,European or Other,HSU,1803
West Coast,45-49,European or Other,StatsNZ,1710
West Coast,45-49,Maori,HSU,208
West Coast,45-49,Maori,StatsNZ,210
West Coast,45-49,Pacific Peoples,HSU,32
West Coast,45-49,Pacific Peoples,StatsNZ,35
West Coast,50-54,Asian,HSU,43
West Coast,50-54,Asian,StatsNZ,60
West Coast,50-54,European or Other,HSU,2126
West Coast,50-54,European or Other,StatsNZ,2030
West Coast,50-54,Maori,HSU,219
West Coast,50-54,Maori,StatsNZ,250
West Coast,50-54,Pacific Peoples,HSU,25
West Coast,50-54,Pacific Peoples,StatsNZ,25
West Coast,55-59,Asian,HSU,44
West Coast,55-59,Asian,StatsNZ,45
West Coast,55-59,European or Other,HSU,2536
West Coast,55-59,European or Other,StatsNZ,2380
West Coast,55-59,Maori,HSU,254
West Coast,55-59,Maori,StatsNZ,300
West Coast,55-59,Pacific Peoples,HSU,7
West Coast,55-59,Pacific Peoples,StatsNZ,20
West Coast,60-64,Asian,HSU,35
West Coast,60-64,Asian,StatsNZ,50
West Coast,60-64,European or Other,HSU,2380
West Coast,60-64,European or Other,StatsNZ,2380
West Coast,60-64,Maori,HSU,189
West Coast,60-64,Maori,StatsNZ,220
West Coast,65-69,Asian,HSU,9
West Coast,65-69,Asian,StatsNZ,15
West Coast,65-69,European or Other,HSU,2147
West Coast,65-69,European or Other,StatsNZ,2140
West Coast,65-69,Maori,HSU,112
West Coast,65-69,Maori,StatsNZ,140
West Coast,65-69,Pacific Peoples,HSU,5
West Coast,65-69,Pacific Peoples,StatsNZ,15
West Coast,70-74,European or Other,HSU,1827
West Coast,70-74,European or Other,StatsNZ,1840
West Coast,70-74,Maori,HSU,75
West Coast,70-74,Maori,StatsNZ,100
West Coast,75-79,European or Other,HSU,1157
West Coast,75-79,European or Other,StatsNZ,1210
West Coast,75-79,Maori,HSU,49
West Coast,75-79,Maori,StatsNZ,60
West Coast,80-84,European or Other,HSU,715
West Coast,80-84,European or Other,StatsNZ,780
West Coast,80-84,Maori,HSU,29
West Coast,80-84,Maori,StatsNZ,30
West Coast,85-89,European or Other,HSU,383
West Coast,85-89,European or Other,StatsNZ,380
West Coast,85-89,Maori,HSU,11
West Coast,85-89,Maori,StatsNZ,20
West Coast,90+,European or Other,HSU,190
West Coast,90+,European or Other,StatsNZ,200
Whanganui,20-24,Asian,HSU,117
Whanganui,20-24,Asian,StatsNZ,160
Whanganui,20-24,European or Other,HSU,2066
Whanganui,20-24,European or Other,StatsNZ,1730
Whanganui,20-24,Maori,HSU,1380
Whanganui,20-24,Maori,StatsNZ,1450
Whanganui,20-24,Pacific Peoples,HSU,144
Whanganui,20-24,Pacific Peoples,StatsNZ,130
Whanganui,25-29,Asian,HSU,229
Whanganui,25-29,Asian,StatsNZ,250
Whanganui,25-29,European or Other,HSU,2361
Whanganui,25-29,European or Other,StatsNZ,2100
Whanganui,25-29,Maori,HSU,1304
Whanganui,25-29,Maori,StatsNZ,1450
Whanganui,25-29,Pacific Peoples,HSU,159
Whanganui,25-29,Pacific Peoples,StatsNZ,160
Whanganui,30-34,Asian,HSU,269
Whanganui,30-34,Asian,StatsNZ,320
Whanganui,30-34,European or Other,HSU,2431
Whanganui,30-34,European or Other,StatsNZ,2410
Whanganui,30-34,Maori,HSU,1202
Whanganui,30-34,Maori,StatsNZ,1310
Whanganui,30-34,Pacific Peoples,HSU,151
Whanganui,30-34,Pacific Peoples,StatsNZ,160
Whanganui,35-39,Asian,HSU,257
Whanganui,35-39,Asian,StatsNZ,290
Whanganui,35-39,European or Other,HSU,2210
Whanganui,35-39,European or Other,StatsNZ,2180
Whanganui,35-39,Maori,HSU,952
Whanganui,35-39,Maori,StatsNZ,1060
Whanganui,35-39,Pacific Peoples,HSU,122
Whanganui,35-39,Pacific Peoples,StatsNZ,120
Whanganui,40-44,Asian,HSU,171
Whanganui,40-44,Asian,StatsNZ,190
Whanganui,40-44,European or Other,HSU,2266
Whanganui,40-44,European or Other,StatsNZ,2190
Whanganui,40-44,Maori,HSU,928
Whanganui,40-44,Maori,StatsNZ,1010
Whanganui,40-44,Pacific Peoples,HSU,116
Whanganui,40-44,Pacific Peoples,StatsNZ,130
Whanganui,45-49,Asian,HSU,149
Whanganui,45-49,Asian,StatsNZ,180
Whanganui,45-49,European or Other,HSU,2814
Whanganui,45-49,European or Other,StatsNZ,2830
Whanganui,45-49,Maori,HSU,979
Whanganui,45-49,Maori,StatsNZ,1040
Whanganui,45-49,Pacific Peoples,HSU,94
Whanganui,45-49,Pacific Peoples,StatsNZ,110
Whanganui,50-54,Asian,HSU,115
Whanganui,50-54,Asian,StatsNZ,150
Whanganui,50-54,European or Other,HSU,3172
Whanganui,50-54,European or Other,StatsNZ,3160
Whanganui,50-54,Maori,HSU,990
Whanganui,50-54,Maori,StatsNZ,1080
Whanganui,50-54,Pacific Peoples,HSU,94
Whanganui,50-54,Pacific Peoples,StatsNZ,90
Whanganui,55-59,Asian,HSU,121
Whanganui,55-59,Asian,StatsNZ,150
Whanganui,55-59,European or Other,HSU,3675
Whanganui,55-59,European or Other,StatsNZ,3590
Whanganui,55-59,Maori,HSU,982
Whanganui,55-59,Maori,StatsNZ,1070
Whanganui,55-59,Pacific Peoples,HSU,85
Whanganui,55-59,Pacific Peoples,StatsNZ,80
Whanganui,60-64,Asian,HSU,82
Whanganui,60-64,Asian,StatsNZ,100
Whanganui,60-64,European or Other,HSU,3685
Whanganui,60-64,European or Other,StatsNZ,3760
